# content_old vs content delta layer — all 510 residual posts where the two differ.
# Verified outcome: 467 media/URL migration only, 35 media-shortcode removal, 5 whitespace,
# 2 embedder-title metadata loss (posts 231, 1034), 1 genuine semantic rewrite with material
# loss (post 1079 / wp19498) where 79 claim-strings survive ONLY in content_old.
# post	wp	class	old_len	new_len	delta	similarity	urls_removed	urls_added	claims_only_in_old
1	36883	MEDIA_URL_MIGRATION_ONLY	339	339	0	1.0	10	1	0
2	36878	MEDIA_URL_MIGRATION_ONLY	2302	2302	0	1.0	12	1	0
7	36782	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	9	1	0
8	36710	REPRESENTATION_CHANGE_ONLY	8461	8468	7	0.9977	50	6	0
10	36497	MEDIA_URL_MIGRATION_ONLY	4979	4979	0	1.0	96	11	0
12	36475	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	2	2	0
15	36452	MEDIA_URL_MIGRATION_ONLY	794	794	0	1.0	2	2	0
16	36447	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	2	2	0
17	36436	MEDIA_URL_MIGRATION_ONLY	1094	1094	0	1.0	11	3	0
25	36256	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	21	2	0
26	36251	MEDIA_URL_MIGRATION_ONLY	134	134	0	1.0	6	1	0
27	36238	MEDIA_URL_MIGRATION_ONLY	1609	1609	0	1.0	10	1	0
28	36207	MEDIA_URL_MIGRATION_ONLY	4410	4410	0	1.0	54	8	0
30	36182	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	2	2	0
31	36173	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	20	2	0
32	36128	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	2	2	0
33	36120	MEDIA_URL_MIGRATION_ONLY	624	624	0	1.0	2	2	0
35	36110	MEDIA_URL_MIGRATION_ONLY	8262	8262	0	1.0	12	1	0
40	36035	MEDIA_URL_MIGRATION_ONLY	5023	5023	0	1.0	58	6	0
44	35827	MEDIA_URL_MIGRATION_ONLY	4288	4288	0	1.0	57	6	0
45	35757	MEDIA_URL_MIGRATION_ONLY	25091	25091	0	1.0	14	1	0
47	35704	MEDIA_URL_MIGRATION_ONLY	127	127	0	1.0	15	2	0
55	35497	MEDIA_URL_MIGRATION_ONLY	5702	5702	0	1.0	20	2	0
59	35133	MEDIA_URL_MIGRATION_ONLY	2310	2310	0	1.0	46	5	0
64	34948	MEDIA_URL_MIGRATION_ONLY	5267	5267	0	1.0	4	1	0
68	34765	MEDIA_URL_MIGRATION_ONLY	3540	3540	0	1.0	115	11	0
72	34648	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	227	19	0
73	34604	MEDIA_URL_MIGRATION_ONLY	367	367	0	1.0	11	6	0
81	34476	MEDIA_URL_MIGRATION_ONLY	4140	4140	0	1.0	1	1	0
86	34348	MEDIA_URL_MIGRATION_ONLY	3631	3631	0	1.0	92	9	0
88	34317	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	3	3	0
90	34221	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	2	1	0
93	34179	MEDIA_URL_MIGRATION_ONLY	4556	4556	0	1.0	11	5	0
97	34122	MEDIA_URL_MIGRATION_ONLY	1349	1349	0	1.0	16	4	0
98	34024	MEDIA_URL_MIGRATION_ONLY	22132	22132	0	1.0	6	2	0
101	33826	MINOR_TEXT_EDIT	1215	1218	3	0.9864	10	1	0
102	33567	MEDIA_URL_MIGRATION_ONLY	4647	4647	0	1.0	107	28	0
107	33271	MEDIA_URL_MIGRATION_ONLY	44	44	0	1.0	2	2	0
113	33105	MEDIA_URL_MIGRATION_ONLY	249	249	0	1.0	2	2	0
114	33091	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	6	1	0
116	33029	MEDIA_URL_MIGRATION_ONLY	1843	1843	0	1.0	11	1	0
118	32822	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	1	1	0
121	32688	DELETED_MATERIAL	236	195	-41	0.9049	6	6	0
123	32619	MEDIA_URL_MIGRATION_ONLY	2353	2353	0	1.0	22	5	0
124	32578	MEDIA_URL_MIGRATION_ONLY	10976	10976	0	1.0	3	1	0
125	32561	MEDIA_URL_MIGRATION_ONLY	123	123	0	1.0	16	7	0
